"Opportunity 
Received On"	"Received
Time"	Company Name	CRM POC	Student Side Status	Hubspot Link	Student Response Sheet	Company Sheet	#Positions	"# Profile 
Requested"	# No .of Profiles shared	#Mapping Pool	# Eligible as per Pref	# Filled Form	# Interested	Date of Sharing Profiles	# shortlists	Company Status	Date  & Time of Process	Company Process Details	Screening Round/Telephonic Round	Assignement Round	TR 1	Next Process	Role	"Skills required 
(Must)"	"Skills required 
(Good to Have)"	Stipend	Location	Duration	Day & timings	Success Team_Company Feedback	Scheduled Date	Interview Process (e.g. TR, MR, Assessment)	Action Items	Hiring Intelligence 	RSA													
3-Mar-2026	11:21	Auraverse	Keerthana	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1Yzmbcgm8nW4uNcdGg-NPASAOpqQM1yirTY_V-VHv8DM/edit?gid=95884983#gid=95884983	1	2	2					4 Mar		Not Hired							Frontend Engineering Intern (React)	Frontend Engineering Intern (React)		15k	Remote	6 months	5 days & full time																			
3-Mar-2026	3:26	Metafic	Akshita	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1oWp5eeN4OcltGhGhQAl0ovKvi2qiwOVEj9Q06JaRsxg/edit?gid=95884983#gid=95884983	3	3	2					4 Mar		Not Hired							MERN	MERN		10k	Remote	6 months	Full time																			
4-Mar-2026	11:18	Team Variance	Akshita	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1jTabWDEZWQ2xJm2tLIh05RQLpZxf0hChMfS4_0yoICs/edit?gid=0#gid=0	2	6	1					5 Mar		Not Hired							MERN	MERN		10k	Noida	6 months	Full time																			
5-Mar-2026	3:49	Brain Quest	Kathyayini	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1HGywWj_Vzg97sD8Dbsy2WA0yInFO9k5yH5Qb6UmVXCw/edit?gid=95884983#gid=95884983	2	2	1					6 Mar		Not Hired	Mar-13-2026	Telephonic Round happen					Full stack (mainly in frontend and React)	Full stack (mainly in frontend and React)	Previous experience with SaaS-based products is a plus and any live projects are appreciated.	10k	Remote	6 months	5 days, 10:30am- 7:30pm																			
6-Mar-2026	10:15	Catalys	Kathyayini	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1PYaXX_1KDUMnqOmSerUCmNs6cVgfcxjHkQOykRn-JBU/edit?gid=0#gid=0	1	4	3					7 Mar		Not Hired							React js	React js		5-10k	Remote	6 months	Regular																			
7-Mar-2026	12:57	Tese.io	Keerthana	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1MwObGdwqS2pZ-ImKn2B3dGrHUO30pJ0j4ictI2FDKqs/edit?gid=0#gid=0	2	4	2					9 Mar		Drop							MERN	MERN		5k to 10k	Remote	6 months	6 days & full time																			
10-Mar-2026	12:57	The Fast Way.in	Kathyayini	Sent interest Form				NA	5	0							Not Hired							Backend Developer Intern	Node js,python	python	10k	Mumbai	6 months	10-7																			
10-Mar-2026	12:50	Aurify Systems	Kathyayini	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1I2Nkjw0pG73xVm1rM86G5dprYwHAHDH8GLlmq_1-jlc/edit?gid=95884983#gid=95884983	NA	5	1							Not Hired							Full Stack Intern	SQL, Python, React js, Node js		7k-10k	Mumbai	4 months	9-6																			
11-Mar-2026	1:09	GrowthMile	Akshita	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1TpVi4DITSGtzhG5d-Y_hrvercNC-pKWFaS1fMCG-xno/edit?gid=0#gid=0	NA	3	3					12 Mar		Not Hired							Software Engineer Intern	React js, MongoDB, Express.js, Node js		10k	Remote	3-6months	10AM to 6PM																			
11-Mar-2026	3:14	SoCTeamup	Akshita	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1QN_hwPU8kU0JsFmKY0NU_5aoGrpMVp_NyYZ6EvcLki8/edit?gid=0#gid=0	6	12	2					13 Mar		Not Hired							MERN	MERN		10k	noida	6 months	Mon to Friday (9:30 AM to 5:30 PM)																			
13-Mar-2026	12:19	creova.in	Keerthana	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1nLSAbFkK1r3XRGrwjiwV_iOeG4XfS1OyvGvhR1nqj40/edit?gid=0#gid=0	6	3	2							Not Hired							React js, MongoDB, Node js, Express.js	React js, MongoDB, Node js, Express.js	PHP, Flutter	10k-15k	Remote	6 months	9 to 6.30																			
13-Mar-2026	10:46	Eklavya Solution - MERN	Keerthana	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/10dtWHQBCpIZKSfM8N7ydx1NuBLLlafCFIQtgZDmFHyg/edit?gid=0#gid=0	6	3	4					13 Mar		Not Hired							Full stack intern	MongoDB, Express.js, Python, DSA, React js, Node js	Java, Spring Boot	40k	Remote	6 months	9 to 6.30																			
13-Mar-2026	3:07	Munshot	Keerthana	No Student Eligble					3	0							Not Hired							Backend Development intern	Node js, Python, FastAPI, SQL	Selenium, GraphQL	10k	Remote	6 months	9 to 6.30																			
13-Mar-2026	5:22	Maximizze	Kathyayini	Sent interest Form					5	0							Not Hired							Backend Developer Intern	Node js	Python	15k	Gurugram	6 months	9-6																			
17-Mar-2026	3:56	8 Views	Kathyayini	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1KOe4rAtJM8FLmzBxskna3m56vWqant6keYuO1n5bj9k/edit?gid=1222352094#gid=1222352094		3	3							Not Hired							Full stack: MERN	Mern		10k	Hyderabad	3 months	Regular																			
17-Mar-2026	5:24	Bharat Travel Company	Akshita	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1UxZ2P3XoOuBVe9hQbAQc5YtR9wQpvL60QzBa-hKAzZI/edit?usp=sharing		10	7							Drop							MERN Intern	React js, Node js, Express.js, MongoDB		5K	Remote	3-6 months	10AM to 7PM																			
17-Mar-2026	6:11	Fiaxe	Keerthana	Shared Profiles with CRM			https://docs.google.com/spreadsheets/d/1hQmSCfCJSTS7jPmzEu2QDe22iZkoMLKaIMmayTzniWc/edit?usp=sharing		3	2							Not Hired							SDE intern	JavaScript, React js, Node js, Express.js, MySQL, FastAPI	Python	15k	Mumbai	6 months	9 to 6,6 days a week																			
